date,description,credit,debit
2026-01-01,SALARY JANUARY,75000,0
2026-01-02,RENT PAYMENT,0,20000
2026-01-03,ZOMATO ORDER,0,850
2026-01-04,UBER RIDE,0,420
2026-01-05,SIP MUTUAL FUND,0,5000
2026-01-06,AMAZON SHOPPING,0,2300
2026-01-07,TRANSFER TO SAVINGS,0,10000
2026-01-10,REFUND AMAZON,1500,0
2026-01-12,SWIGGY FOOD ORDER,0,650
2026-01-15,OLA CAB,0,390
2026-01-18,EMI CAR LOAN,0,8500
2026-01-20,STARBUCKS COFFEE,0,540
2026-01-22,FREELANCE PAYMENT,12000,0
2026-01-25,PETROL PUMP,0,3000
2026-01-28,TRANSFER FROM FRIEND,4000,0
